ID,Status Pernikahan,Program Studi,Kelas Reguler/Malam,Pendidikan Terakhir,Nilai SMA,Daerah Asal,Pendidikan Ibu,Pendidikan Ayah,Pekerjaan Ibu,Pekerjaan Ayah,Nilai Ujian Masuk,Pindahan,Berkebutuhan Khusus,Status pembayaran semester terakhir,Jenis Kelamin,Beasiswa,Usia saat mendaftar,IP Semester 1,IP Semester 2,Target
00031,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,60,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,61.25,Tidak,Tidak,Belum,Wanita,Tidak,28,2.35,2.4,Gagal
00033,Menikah,Ekonomi,Malam,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Negri,Pegawai Negri,69.15,Tidak,Tidak,Sudah,Pria,Tidak,44,2.27,2.23,Gagal
00034,Cerai,Jurnalistik,Reguler,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,58.75,Tidak,Tidak,Sudah,Wanita,Tidak,39,2.25,2.27,Lulus Tepat Waktu
00035,Belum Menikah,Perpajakan,Reguler,Perguruan Tinggi,75,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,75,Ya,Tidak,Sudah,Pria,Tidak,20,3.3,3.54,Gagal
00038,Belum Menikah,Manajemen,Reguler,SMA/Sederajat,72,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Negri,63.6,Ya,Tidak,Sudah,Wanita,Ya,20,2.53,2.6,Lulus Tepat Waktu
00039,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,80,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,62,Tidak,Tidak,Sudah,Pria,Tidak,28,2.2,2,Lulus Tidak Tepat Waktu
00043,Cerai,Pariwisata,Malam,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,70,Tidak,Tidak,Sudah,Wanita,Ya,43,0,0,Gagal
00044,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,74.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Negri,75.55,Ya,Tidak,Sudah,Pria,Tidak,19,0,0,Lulus Tepat Waktu
00048,Belum Menikah,Keperawatan,Reguler,SMA/Sederajat,63,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,61.25,Ya,Tidak,Belum,Wanita,Tidak,25,2.7,2.85,Gagal
00051,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,78,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Wiraswasta,Pegawai Swasta,66.15,Ya,Tidak,Sudah,Pria,Ya,18,2.65,2.65,Lulus Tepat Waktu
00053,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,68.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,62.2,Ya,Tidak,Sudah,Wanita,Tidak,18,2.52,2.2,Lulus Tidak Tepat Waktu
00056,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,89,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,78.85,Tidak,Tidak,Sudah,Pria,Tidak,34,2.7,0,Gagal
00060,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,64,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Lainnya,61.05,Tidak,Tidak,Sudah,Wanita,Ya,18,2.31,2.4,Lulus Tidak Tepat Waktu
00064,Menikah,Ekonomi,Malam,SMA/Sederajat,70,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Lainnya,76.2,Tidak,Tidak,Sudah,Wanita,Tidak,26,2.4,2.97,Lulus Tepat Waktu
00065,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,64,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Lainnya,58.25,Tidak,Tidak,Sudah,Wanita,Ya,18,2.23,2.25,Lulus Tepat Waktu
00067,Belum Menikah,Perpajakan,Reguler,SMA/Sederajat,63,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Negri,Pegawai Negri,65.1,Tidak,Tidak,Sudah,Pria,Tidak,19,2.04,2.4,Lulus Tidak Tepat Waktu
00069,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,72.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,50,Tidak,Tidak,Sudah,Wanita,Ya,18,0,0,Gagal
00070,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,61,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Pegawai Negri,58.4,Ya,Tidak,Sudah,Wanita,Tidak,21,2.3,2.56,Lulus Tepat Waktu
00072,Belum Menikah,Teknik Mesin,Reguler,SMA/Sederajat,64.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,62.95,Ya,Tidak,Sudah,Wanita,Tidak,19,2.4,2.4,Lulus Tidak Tepat Waktu
00074,Belum Menikah,Manajemen,Reguler,SMA/Sederajat,57.5,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,57.5,Tidak,Tidak,Sudah,Pria,Tidak,21,2.36,2.73,Gagal
00075,Belum Menikah,Perpajakan,Reguler,SMA/Sederajat,65,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Pegawai Swasta,60.65,Ya,Tidak,Sudah,Pria,Tidak,18,2.4,2.4,Gagal
00078,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,68.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,70.5,Tidak,Tidak,Sudah,Pria,Tidak,36,0,0,Gagal
00079,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,66.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,60.9,Ya,Tidak,Sudah,Wanita,Ya,18,2.04,2.25,Lulus Tepat Waktu
00081,Menikah,Ekonomi,Malam,SMA/Sederajat,81,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,66,Tidak,Tidak,Sudah,Pria,Tidak,25,2.2,2.4,Lulus Tidak Tepat Waktu
00082,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,71,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,66.45,Ya,Tidak,Sudah,Pria,Tidak,18,2.84,2.48,Gagal
00083,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,66.55,Luar Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,57.35,Tidak,Tidak,Sudah,Wanita,Tidak,34,2.1,2.2,Gagal
00084,Belum Menikah,Perpajakan,Reguler,SMA/Sederajat,66,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,59.7,Ya,Tidak,Sudah,Pria,Tidak,21,0,0,Gagal
00085,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,62.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Pegawai Negri,62,Tidak,Tidak,Sudah,Wanita,Tidak,19,2.97,2.67,Lulus Tepat Waktu
00088,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,55.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,52.9,Ya,Tidak,Sudah,Wanita,Tidak,19,2.63,2.57,Lulus Tepat Waktu
00090,Menikah,Ekonomi,Malam,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Wiraswasta,Pegawai Swasta,50,Tidak,Tidak,Belum,Wanita,Tidak,31,2.35,2,Gagal
00091,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,53.85,Tidak,Tidak,Belum,Wanita,Tidak,28,0,0,Gagal
00093,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,58.5,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Lainnya,54.65,Tidak,Tidak,Sudah,Pria,Tidak,19,0,0,Lulus Tepat Waktu
00094,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,80,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Wiraswasta,Lainnya,70.75,Ya,Tidak,Sudah,Pria,Tidak,18,2.13,2.5,Gagal
00095,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,68,Pulau Jawa,D3/S1/Sederajat,D3/S1/Sederajat,Lainnya,Lainnya,67.85,Ya,Tidak,Sudah,Wanita,Tidak,19,2.88,2.95,Lulus Tepat Waktu
00102,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Lainnya,61.7,Ya,Tidak,Sudah,Pria,Tidak,30,2,2.27,Gagal
00103,Belum Menikah,Manajemen,Reguler,SMA/Sederajat,63.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,59.65,Ya,Ya,Sudah,Pria,Ya,25,2.05,2.25,Gagal
00105,Belum Menikah,Teknik Industri,Reguler,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,79.5,Ya,Tidak,Sudah,Wanita,Tidak,25,2.37,2.34,Lulus Tidak Tepat Waktu
00106,Belum Menikah,Perpajakan,Reguler,SMA/Sederajat,66.55,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,58.5,Ya,Tidak,Sudah,Pria,Tidak,21,2.23,2.16,Lulus Tidak Tepat Waktu
00108,Belum Menikah,Perpajakan,Reguler,SMA/Sederajat,60,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,60,Tidak,Tidak,Belum,Pria,Tidak,40,2.6,2.8,Gagal
00113,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,64.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,63.1,Tidak,Tidak,Belum,Wanita,Ya,21,2.69,2.27,Gagal
00123,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,62.5,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Lainnya,59.9,Tidak,Tidak,Sudah,Wanita,Tidak,-18,0,0,Gagal
00124,Cerai,Ekonomi,Malam,Perguruan Tinggi,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,59.5,Ya,Tidak,Belum,Pria,Tidak,55,0,0,Gagal
00128,Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,60,Tidak,Tidak,Belum,Pria,Tidak,57,2.35,2.44,Gagal
00129,Cerai,Teknik Mesin,Reguler,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,64.1,Tidak,Tidak,Sudah,Wanita,Tidak,25,0,0,Gagal
00131,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,60,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,59.85,Ya,Tidak,Sudah,Wanita,Tidak,21,0,0,Gagal
00134,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,60,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,74.5,Tidak,Tidak,Belum,Pria,Tidak,36,2.3,0,Gagal
00135,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,62.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,57.45,Tidak,Tidak,Sudah,Wanita,Ya,19,2.3,2.44,Lulus Tepat Waktu
00136,Menikah,Agronomi,Reguler,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,58,Tidak,Tidak,Sudah,Wanita,Tidak,44,2.6,2.77,Lulus Tepat Waktu
00137,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Negri,50,Tidak,Tidak,Sudah,Wanita,Tidak,20,2.32,2.6,Lulus Tidak Tepat Waktu
00138,Belum Menikah,Hubungan Masyarakat,Reguler,Perguruan Tinggi,66.55,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Wiraswasta,70,Ya,Tidak,Belum,Pria,Tidak,24,0,0,Gagal
00139,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,57.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Negri,Pegawai Negri,57.5,Ya,Tidak,Sudah,Wanita,Tidak,19,2.4,2.57,Lulus Tepat Waktu
00143,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,59,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Wiraswasta,56.9,Ya,Tidak,Sudah,Wanita,Tidak,21,2.33,2.35,Lulus Tepat Waktu
00146,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,60.5,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Negri,Pegawai Negri,57.7,Ya,Tidak,Sudah,Wanita,Ya,24,2.39,2.39,Lulus Tidak Tepat Waktu
00148,Belum Menikah,Pertanian,Reguler,SMA/Sederajat,76,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,68.5,Ya,Tidak,Sudah,Wanita,Ya,22,2.78,2.87,Lulus Tepat Waktu
00150,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,67.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Negri,62.65,Ya,Tidak,Sudah,Wanita,Ya,18,2.36,2.36,Lulus Tepat Waktu
00152,Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,60,Tidak,Tidak,Sudah,Wanita,Tidak,33,2.52,2.25,Lulus Tidak Tepat Waktu
00154,Belum Menikah,Manajemen,Reguler,SMA/Sederajat,80,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Pegawai Negri,Lainnya,77.75,Ya,Tidak,Sudah,Wanita,Tidak,18,2.8,3,Lulus Tepat Waktu
00157,Belum Menikah,Akuntansi,Reguler,SMA/Sederajat,59.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,57.6,Ya,Tidak,Sudah,Wanita,Ya,19,0,0,Gagal
00160,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,70.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,63.4,Ya,Tidak,Sudah,Pria,Tidak,18,2.65,2.65,Lulus Tepat Waktu
00162,Belum Menikah,Manajemen,Reguler,SMA/Sederajat,62.5,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,66.7,Ya,Tidak,Sudah,Pria,Ya,19,2.6,2.44,Lulus Tidak Tepat Waktu
00165,Menikah,Agronomi,Reguler,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,60.2,Tidak,Tidak,Belum,Wanita,Tidak,39,0,0,Gagal
00168,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,65.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,74.95,Ya,Tidak,Sudah,Pria,Tidak,18,0,0,Lulus Tepat Waktu
00170,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,64,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Negri,Lainnya,62.8,Ya,Tidak,Sudah,Pria,Tidak,19,0,0,Gagal
00173,Belum Menikah,Penyiaran,Reguler,SMA/Sederajat,72.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,71.8,Tidak,Tidak,Sudah,Pria,Tidak,19,2.54,2.45,Lulus Tidak Tepat Waktu
00175,Cerai,Perbankan,Reguler,SMA/Sederajat,55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,55,Tidak,Tidak,Belum,Wanita,Tidak,37,0,0,Gagal
00176,Menikah,Penyiaran,Reguler,SMA/Sederajat,60,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,65,Ya,Tidak,Sudah,Pria,Tidak,37,0,0,Gagal
00177,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,71,Pulau Jawa,Lebih dari S1,Lebih dari S1,Wiraswasta,Lainnya,63.65,Tidak,Tidak,Sudah,Wanita,Ya,18,2.2,2.3,Lulus Tepat Waktu
00179,Belum Menikah,Perpustakaan,Reguler,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,65,Tidak,Tidak,Sudah,Wanita,Ya,30,0,0,Lulus Tidak Tepat Waktu
00180,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,64.25,Ya,Tidak,Sudah,Wanita,Tidak,18,2.81,2.51,Lulus Tidak Tepat Waktu
00186,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,70,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,66,Tidak,Tidak,Sudah,Pria,Tidak,19,2.31,2.6,Gagal
00187,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,74,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,68.65,Ya,Tidak,Sudah,Wanita,Tidak,19,2.85,2.85,Lulus Tepat Waktu
00188,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,58.5,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Pegawai Swasta,58.5,Ya,Tidak,Sudah,Pria,Tidak,19,2.15,2.45,Lulus Tidak Tepat Waktu
00192,Belum Menikah,Perpustakaan,Reguler,Perguruan Tinggi,85,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Lainnya,85,Ya,Tidak,Sudah,Pria,Tidak,21,3.06,3.03,Lulus Tepat Waktu
00195,Belum Menikah,Perbankan,Reguler,SMA/Sederajat,71,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Negri,64,Ya,Tidak,Belum,Wanita,Tidak,19,0,0,Gagal
00196,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,53,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,52.5,Tidak,Tidak,Sudah,Pria,Tidak,20,2.2,2.43,Lulus Tepat Waktu
00197,Cerai,Pariwisata,Malam,SMA/Sederajat,50,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,65,Tidak,Tidak,Sudah,Wanita,Ya,43,2.44,2.47,Lulus Tepat Waktu
00202,Belum Menikah,Keperawatan,Reguler,SMA/Sederajat,69,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,63.15,Ya,Tidak,Sudah,Wanita,Ya,18,2.57,2.6,Lulus Tidak Tepat Waktu
00204,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,71.4,Tidak,Tidak,Sudah,Pria,Tidak,20,0,0,Gagal
00205,Menikah,Perpajakan,Reguler,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,70,Tidak,Tidak,Belum,Pria,Tidak,34,0,0,Gagal
00206,Belum Menikah,Hubungan Masyarakat,Reguler,SMA/Sederajat,62.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Pegawai Swasta,62,Ya,Tidak,Sudah,Wanita,Tidak,19,2.24,2.35,Lulus Tidak Tepat Waktu
00212,Menikah,Ekonomi,Malam,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,60,Tidak,Tidak,Sudah,Pria,Tidak,39,0,2,Gagal
00214,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,71,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,66.45,Ya,Tidak,Sudah,Pria,Tidak,18,2.47,2.47,Lulus Tepat Waktu
00216,Menikah,Ekonomi,Malam,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,59.1,Tidak,Tidak,Sudah,Pria,Tidak,52,2.24,2.56,Lulus Tepat Waktu
00217,Belum Menikah,Agronomi,Reguler,SMA/Sederajat,71.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,63.45,Ya,Tidak,Sudah,Wanita,Tidak,18,2.2,2.33,Lulus Tepat Waktu
00221,Belum Menikah,Manajemen,Reguler,SMA/Sederajat,58,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Pegawai Negri,Lainnya,55.2,Ya,Tidak,Sudah,Pria,Tidak,19,2.3,2.46,Lulus Tepat Waktu
00223,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,63.15,Tidak,Tidak,Sudah,Wanita,Ya,26,0,0,Gagal
00224,Menikah,Akuntansi,Reguler,SMA/Sederajat,75,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Swasta,Wiraswasta,67.8,Tidak,Tidak,Sudah,Wanita,Ya,43,2.2,2.6,Lulus Tepat Waktu
00226,Belum Menikah,Teknologi Informasi,Reguler,SMA/Sederajat,64,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,62.45,Tidak,Tidak,Sudah,Wanita,Ya,19,2.5,2.57,Lulus Tepat Waktu
00227,Belum Menikah,Perpustakaan,Reguler,Perguruan Tinggi,65,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,65,Tidak,Tidak,Sudah,Pria,Ya,21,2.34,2.35,Lulus Tepat Waktu
00229,Belum Menikah,Jurnalistik,Reguler,SMA/Sederajat,60.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Swasta,58.95,Ya,Tidak,Sudah,Wanita,Tidak,19,2.57,2.33,Lulus Tepat Waktu
00230,Belum Menikah,Akuntansi,Reguler,Perguruan Tinggi,55,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,55,Tidak,Tidak,Sudah,Wanita,Tidak,21,2.37,2.65,Lulus Tidak Tepat Waktu
00231,Belum Menikah,Keperawatan,Reguler,SMA/Sederajat,78.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,75.45,Ya,Tidak,Sudah,Wanita,Tidak,18,3,3.03,Gagal
00234,Belum Menikah,Perpustakaan,Reguler,Perguruan Tinggi,60,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,60,Tidak,Tidak,Sudah,Pria,Tidak,23,2.2,0,Gagal
