ID,Status Pernikahan,Program Studi,Kelas Siang/Malam,Pendidikan Terakhir,Nilai SMA,Daerah Asal,Pendidikan Ibu,Pendidikan Ayah,Pekerjaan Ibu,Pekerjaan Ayah,Nilai Ujian Masuk,Pindahan,Berkebutuhan Khusus,Status pembayaran semester terakhir,Jenis Kelamin,Beasiswa,Umur saat mendaftar,IP Semester 1,IP Semester 2,Target
01859,Menikah,Pariwisata,Malam,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Wiraswasta,Lainnya,56.25,Tidak,Tidak,Sudah,Perempuan,Tidak,32,2.76,2.43,Lulus Tepat Waktu
01860,Belum Menikah,Teknologi Informasi,Siang,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Lainnya,63.35,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.48,2.13,Gagal
01864,Belum Menikah,Perbankan,Siang,SMA/Sederajat,71,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,62.75,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.57,2.57,Lulus Tepat Waktu
01865,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,65,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Negri,Pegawai Swasta,60.75,Tidak,Tidak,Belum,Laki-laki,Tidak,26,2.1,0,Gagal
01866,Belum Menikah,Perbankan,Siang,SMA/Sederajat,75.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,63.9,Tidak,Tidak,Sudah,Perempuan,Ya,18,2.73,2.73,Lulus Tepat Waktu
01868,Menikah,Keperawatan,Siang,Perguruan Tinggi,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,64.1,Tidak,Tidak,Sudah,Laki-laki,Tidak,28,0,0,Gagal
01869,Belum Menikah,Perbankan,Siang,SMA/Sederajat,68.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Pegawai Swasta,65.4,Ya,Tidak,Sudah,Perempuan,Ya,18,2.53,2.53,Lulus Tepat Waktu
01872,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,64.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,58.75,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.72,2.48,Lulus Tepat Waktu
01873,Belum Menikah,Jurnalistik,Siang,SMA/Sederajat,63,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Pegawai Negri,64.75,Ya,Tidak,Belum,Perempuan,Tidak,18,2.44,2.35,Gagal
01874,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,65.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Negri,Pegawai Swasta,61.85,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.8,2.8,Lulus Tidak Tepat Waktu
01878,Belum Menikah,Teknik Mesin,Siang,Perguruan Tinggi,75,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,72.6,Ya,Tidak,Sudah,Perempuan,Tidak,20,2.92,2.74,Lulus Tepat Waktu
01879,Belum Menikah,Pertanian,Siang,SMA/Sederajat,66,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,61.3,Ya,Tidak,Sudah,Perempuan,Ya,20,2.63,2.8,Lulus Tepat Waktu
01880,Belum Menikah,Agronomi,Siang,SMA/Sederajat,62,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Pegawai Swasta,60.6,Tidak,Tidak,Sudah,Perempuan,Tidak,19,2.6,2.17,Lulus Tidak Tepat Waktu
01883,Belum Menikah,Perbankan,Siang,SMA/Sederajat,68,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,63.15,Ya,Tidak,Sudah,Perempuan,Ya,18,2.32,2.32,Lulus Tepat Waktu
01885,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,66.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,60.55,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.73,3.08,Lulus Tepat Waktu
01888,Belum Menikah,Teknologi Informasi,Siang,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,56.85,Tidak,Tidak,Sudah,Perempuan,Tidak,20,2.2,2.13,Gagal
01889,Belum Menikah,Pertanian,Siang,SMA/Sederajat,57.5,Luar Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,58.05,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.7,2.87,Lulus Tepat Waktu
01892,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Lainnya,Lainnya,63.5,Tidak,Tidak,Sudah,Perempuan,Tidak,19,2.4,2.64,Lulus Tepat Waktu
01893,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,67.9,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.67,2.96,Lulus Tepat Waktu
01894,Belum Menikah,Perbankan,Siang,SMA/Sederajat,74,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,65.85,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.8,0,Gagal
01896,Belum Menikah,Agronomi,Siang,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,66.6,Tidak,Tidak,Sudah,Perempuan,Tidak,20,2.33,2.34,Lulus Tepat Waktu
01897,Belum Menikah,Penyiaran,Siang,SMA/Sederajat,78,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Lainnya,76.8,Ya,Tidak,Sudah,Perempuan,Tidak,18,0,0,Lulus Tepat Waktu
01899,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,55.65,Ya,Tidak,Sudah,Laki-laki,Tidak,19,2.27,2.2,Lulus Tidak Tepat Waktu
01900,Belum Menikah,Pariwisata,Malam,SMA/Sederajat,66.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Pegawai Negri,59.85,Ya,Tidak,Sudah,Perempuan,Ya,19,2.3,2.3,Gagal
01901,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,58,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Pegawai Negri,58.35,Ya,Tidak,Sudah,Laki-laki,Tidak,21,2,2.73,Gagal
01902,Belum Menikah,Perbankan,Siang,SMA/Sederajat,65,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,65,Ya,Tidak,Sudah,Perempuan,Tidak,27,2.58,2.58,Lulus Tepat Waktu
01905,Belum Menikah,Perbankan,Siang,SMA/Sederajat,53,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,51.1,Ya,Tidak,Sudah,Laki-laki,Tidak,20,2.48,2.36,Lulus Tidak Tepat Waktu
01907,Belum Menikah,Manajemen,Siang,SMA/Sederajat,74,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,74,Ya,Tidak,Sudah,Perempuan,Tidak,20,2.94,2.92,Lulus Tepat Waktu
01912,Belum Menikah,Perbankan,Siang,SMA/Sederajat,74,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,69.35,Tidak,Tidak,Sudah,Perempuan,Ya,19,3.02,3.02,Lulus Tepat Waktu
01914,Belum Menikah,Manajemen,Siang,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,89,Ya,Tidak,Sudah,Laki-laki,Ya,23,2.67,2.56,Lulus Tepat Waktu
01915,Menikah,Teknik Mesin,Siang,Perguruan Tinggi,80,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,80,Tidak,Tidak,Sudah,Perempuan,Tidak,27,2.8,2.4,Lulus Tepat Waktu
01918,Belum Menikah,Agronomi,Siang,SMA/Sederajat,66,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Negri,60.4,Tidak,Tidak,Sudah,Perempuan,Ya,19,2.32,2.34,Lulus Tepat Waktu
01919,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,55,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,55.65,Tidak,Tidak,Sudah,Laki-laki,Tidak,21,2.46,2.85,Lulus Tidak Tepat Waktu
01921,Belum Menikah,Teknik Mesin,Siang,Perguruan Tinggi,80,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Wiraswasta,Pegawai Swasta,80,Ya,Tidak,Sudah,Perempuan,Tidak,20,2.76,2.78,Lulus Tepat Waktu
01923,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,67,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,60.2,Ya,Tidak,Sudah,Laki-laki,Tidak,18,2.94,2.4,Lulus Tepat Waktu
01926,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Lainnya,73.1,Tidak,Tidak,Sudah,Perempuan,Tidak,27,2.47,2.13,Lulus Tepat Waktu
01931,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,62.5,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Lainnya,Lainnya,62.85,Tidak,Tidak,Sudah,Perempuan,Tidak,20,2.23,2.15,Lulus Tidak Tepat Waktu
01933,Belum Menikah,Pertanian,Siang,SMA/Sederajat,57,Luar Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,63.65,Ya,Tidak,Belum,Perempuan,Tidak,20,2.47,0,Gagal
01934,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,63.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Negri,50,Tidak,Tidak,Sudah,Perempuan,Tidak,21,2.35,2.73,Lulus Tidak Tepat Waktu
01935,Belum Menikah,Teknologi Informasi,Siang,SMA/Sederajat,59,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Swasta,Lainnya,55.7,Ya,Tidak,Belum,Perempuan,Tidak,20,0,0,Gagal
01936,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,67.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Wiraswasta,59.25,Tidak,Tidak,Sudah,Perempuan,Tidak,25,2.1,0,Gagal
01938,Belum Menikah,Teknik Mesin,Siang,Perguruan Tinggi,75,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Wiraswasta,75,Ya,Tidak,Sudah,Laki-laki,Ya,22,2.69,2.73,Lulus Tepat Waktu
01939,Cerai,Ekonomi,Malam,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,69.05,Tidak,Tidak,Sudah,Laki-laki,Ya,37,2.6,2.67,Gagal
01940,Belum Menikah,Ekonomi,Malam,SMA/Sederajat,65,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,70,Tidak,Tidak,Sudah,Laki-laki,Tidak,26,2.48,2.48,Lulus Tepat Waktu
01941,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,74.5,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,73.8,Ya,Tidak,Sudah,Perempuan,Tidak,20,2.78,2.85,Lulus Tepat Waktu
01943,Belum Menikah,Pertanian,Siang,SMA/Sederajat,51,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,50.85,Ya,Tidak,Sudah,Laki-laki,Ya,21,2.7,2.47,Lulus Tepat Waktu
01944,Belum Menikah,Pariwisata,Malam,SMA/Sederajat,61.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Swasta,63.8,Ya,Tidak,Sudah,Laki-laki,Tidak,26,2.37,2.33,Lulus Tidak Tepat Waktu
01946,Belum Menikah,Perbankan,Siang,SMA/Sederajat,72.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,70.75,Ya,Tidak,Sudah,Perempuan,Ya,18,2.61,2.61,Lulus Tepat Waktu
01951,Belum Menikah,Perbankan,Siang,SMA/Sederajat,67.5,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,60.25,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.65,2.65,Lulus Tepat Waktu
01952,Belum Menikah,Perbankan,Siang,SMA/Sederajat,63,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Lainnya,Pegawai Swasta,60.65,Ya,Tidak,Sudah,Perempuan,Ya,18,2.71,2.45,Lulus Tidak Tepat Waktu
01953,Belum Menikah,Teknik Mesin,Siang,Perguruan Tinggi,66.55,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Negri,51.5,Tidak,Tidak,Sudah,Laki-laki,Tidak,25,0,0,Gagal
01954,Belum Menikah,Pariwisata,Malam,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Wiraswasta,70,Tidak,Tidak,Sudah,Perempuan,Tidak,30,0,0,Gagal
01955,Belum Menikah,Perbankan,Siang,SMA/Sederajat,63.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Negri,Pegawai Swasta,64.75,Ya,Tidak,Sudah,Perempuan,Ya,20,2.47,2.47,Lulus Tepat Waktu
01956,Belum Menikah,Perpustakaan,Siang,SMA/Sederajat,55.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,47.9,Ya,Tidak,Belum,Laki-laki,Tidak,43,0,0,Gagal
01961,Belum Menikah,Penyiaran,Siang,SMA/Sederajat,72.5,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Lainnya,Wiraswasta,80.05,Tidak,Tidak,Sudah,Perempuan,Ya,19,2.9,2.72,Lulus Tepat Waktu
01963,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Wiraswasta,75,Tidak,Tidak,Sudah,Laki-laki,Tidak,23,2.6,2,Gagal
01964,Belum Menikah,Agronomi,Siang,SMA/Sederajat,68,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,70.45,Ya,Tidak,Sudah,Laki-laki,Tidak,18,2.4,2.36,Gagal
01972,Belum Menikah,Perbankan,Siang,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Lainnya,Lainnya,56.35,Tidak,Tidak,Sudah,Perempuan,Tidak,21,2.34,2.34,Lulus Tepat Waktu
01974,Belum Menikah,Perbankan,Siang,SMA/Sederajat,63,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Negri,Lainnya,60.1,Tidak,Tidak,Sudah,Perempuan,Ya,19,2.81,2.25,Lulus Tidak Tepat Waktu
01978,Belum Menikah,Teknik Mesin,Siang,SMA/Sederajat,60,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,57.5,Tidak,Tidak,Belum,Perempuan,Tidak,20,2.1,2.47,Gagal
01979,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,SMA/Sederajat,Pegawai Swasta,Pegawai Swasta,55.65,Ya,Tidak,Sudah,Perempuan,Tidak,21,2.52,2.64,Lulus Tepat Waktu
01982,Belum Menikah,Pertanian,Siang,SMA/Sederajat,62.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Lainnya,62,Tidak,Tidak,Sudah,Laki-laki,Ya,19,2.2,2.44,Gagal
01984,Belum Menikah,Pariwisata,Malam,SMA/Sederajat,61.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,60.65,Ya,Tidak,Sudah,Perempuan,Tidak,25,2.57,2.57,Lulus Tepat Waktu
01985,Belum Menikah,Perbankan,Siang,SMA/Sederajat,70.5,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,63.4,Ya,Tidak,Sudah,Perempuan,Tidak,18,2.59,2.59,Lulus Tepat Waktu
01990,Belum Menikah,Perbankan,Siang,SMA/Sederajat,71.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Negri,68.35,Tidak,Tidak,Sudah,Perempuan,Tidak,19,2.53,2.71,Lulus Tepat Waktu
01992,Belum Menikah,Jurnalistik,Siang,Perguruan Tinggi,66.55,Pulau Jawa,SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Swasta,57.5,Ya,Tidak,Belum,Laki-laki,Tidak,25,2.6,2.75,Gagal
01993,Belum Menikah,Pertanian,Siang,SMA/Sederajat,63,Pulau Jawa,SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,58.3,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.32,2.44,Lulus Tepat Waktu
01994,Belum Menikah,Perbankan,Siang,Perguruan Tinggi,59.55,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Lainnya,59.55,Tidak,Tidak,Sudah,Laki-laki,Tidak,22,2.55,2.55,Lulus Tepat Waktu
01999,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,67.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Lainnya,66.65,Tidak,Tidak,Sudah,Perempuan,Tidak,19,2.6,2.64,Lulus Tepat Waktu
02000,Belum Menikah,Manajemen,Siang,SMA/Sederajat,65.5,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Wiraswasta,Wiraswasta,65.15,Ya,Tidak,Sudah,Laki-laki,Ya,20,2.57,2.53,Lulus Tepat Waktu
02002,Cerai,Hubungan Masyarakat,Siang,SMA/Sederajat,66.55,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,55,Tidak,Tidak,Sudah,Perempuan,Tidak,47,0,0,Gagal
02006,Belum Menikah,Perbankan,Siang,SMA/Sederajat,71,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Lainnya,Lainnya,64.2,Ya,Tidak,Sudah,Perempuan,Ya,18,2.66,2.87,Lulus Tepat Waktu
02012,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,61.5,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Swasta,58,Ya,Tidak,Belum,Laki-laki,Tidak,20,0,0,Gagal
02017,Belum Menikah,Pariwisata,Malam,SMA/Sederajat,57.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,57.5,Ya,Tidak,Sudah,Perempuan,Tidak,28,2.56,2.2,Lulus Tepat Waktu
02021,Belum Menikah,Jurnalistik,Siang,SMA/Sederajat,66,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Wiraswasta,Pegawai Swasta,62.15,Ya,Tidak,Sudah,Perempuan,Ya,19,2.37,2.46,Lulus Tepat Waktu
02022,Belum Menikah,Teknologi Informasi,Siang,SMA/Sederajat,66.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Pegawai Swasta,63.7,Tidak,Tidak,Sudah,Perempuan,Ya,18,2.54,2.46,Lulus Tepat Waktu
02023,Belum Menikah,Manajemen,Siang,SMA/Sederajat,64,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Pegawai Swasta,Lainnya,68.05,Ya,Tidak,Belum,Laki-laki,Tidak,19,2.53,2.36,Gagal
02024,Belum Menikah,Hubungan Masyarakat,Siang,SMA/Sederajat,64.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Lainnya,Pegawai Negri,66.45,Ya,Tidak,Sudah,Perempuan,Tidak,19,2.33,2.16,Gagal
02027,Belum Menikah,Akuntansi,Siang,SMA/Sederajat,75,Pulau Jawa,Dibawah SMA/Sederajat,Lebih dari S1,Wiraswasta,Lainnya,69.75,Tidak,Tidak,Sudah,Laki-laki,Ya,20,2.97,2.97,Lulus Tepat Waktu
02028,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,81.5,Pulau Jawa,SMA/Sederajat,Lebih dari S1,Pegawai Negri,Lainnya,75.4,Ya,Tidak,Sudah,Laki-laki,Tidak,18,2.1,2.1,Lulus Tidak Tepat Waktu
02029,Menikah,Ekonomi,Malam,Perguruan Tinggi,70,Pulau Jawa,Lebih dari S1,Dibawah SMA/Sederajat,Lainnya,Lainnya,70,Tidak,Tidak,Sudah,Perempuan,Tidak,33,3.07,3.16,Lulus Tepat Waktu
02030,Belum Menikah,Teknologi Informasi,Siang,SMA/Sederajat,62,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Pegawai Negri,60.8,Tidak,Tidak,Sudah,Perempuan,Tidak,18,2.47,2.12,Lulus Tidak Tepat Waktu
02031,Belum Menikah,Perpajakan,Siang,SMA/Sederajat,60,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Negri,Pegawai Negri,64,Tidak,Tidak,Sudah,Laki-laki,Tidak,30,0,0,Gagal
02034,Belum Menikah,Perbankan,Siang,SMA/Sederajat,62.5,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,61.8,Ya,Tidak,Sudah,Perempuan,Ya,18,2.57,2.57,Lulus Tidak Tepat Waktu
02037,Menikah,Perpustakaan,Siang,SMA/Sederajat,70,Pulau Jawa,Lebih dari S1,Lebih dari S1,Pegawai Swasta,Lainnya,52.4,Tidak,Tidak,Sudah,Perempuan,Tidak,46,2.44,2.28,Lulus Tepat Waktu
02039,Belum Menikah,Penyiaran,Siang,SMA/Sederajat,67,Pulau Jawa,Dibawah SMA/Sederajat,Dibawah SMA/Sederajat,Lainnya,Lainnya,70.85,Ya,Tidak,Sudah,Laki-laki,Tidak,18,0,0,Lulus Tidak Tepat Waktu
02042,Belum Menikah,Manajemen,Siang,SMA/Sederajat,70,Pulau Jawa,Dibawah SMA/Sederajat,SMA/Sederajat,Lainnya,Lainnya,62.5,Ya,Tidak,Sudah,Laki-laki,Tidak,19,2.53,2.43,Lulus Tidak Tepat Waktu
